Layer,Month,Year,Date,Tile_item_id,Tile_Name,Tile_URL,FC_item_id,FC_Name,FC_URL
US Vessel Traffic 2022 04,04,2022,2022_04,6f197d8442634dbf860fdcad362012da,US_Vessel_Traffic_2022_04_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2022_04_optimized/VectorTileServer,7fdf4e8be4f34192bb4f463399a2b229,US_Vessel_Traffic_2022_04_creds,https://utility.arcgis.com/usrsvcs/servers/7fdf4e8be4f34192bb4f463399a2b229/rest/services/AIS/2022_US_Vessel_Traffic/FeatureServer/3
US Vessel Traffic 2022 05,05,2022,2022_05,aa33c788bec540eb91191df0c1fa7753,US_Vessel_Traffic_2022_05_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2022_05_optimized/VectorTileServer,cc47b3a626f64d269a3b7e763d24756b,US_Vessel_Traffic_2022_05_creds,https://utility.arcgis.com/usrsvcs/servers/cc47b3a626f64d269a3b7e763d24756b/rest/services/AIS/2022_US_Vessel_Traffic/FeatureServer/4
US Vessel Traffic 2022 06,06,2022,2022_06,0e86bcf360a846bb9cd2dcd402ec83b4,US_Vessel_Traffic_2022_06_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2022_06_optimized/VectorTileServer,796b4b7d3acc4806864026f088d4e4b9,US_Vessel_Traffic_2022_06_creds,https://utility.arcgis.com/usrsvcs/servers/796b4b7d3acc4806864026f088d4e4b9/rest/services/AIS/2022_US_Vessel_Traffic/FeatureServer/5
US Vessel Traffic 2022 07,07,2022,2022_07,e4f60301d52a44d2823218a850a0b76a,US_Vessel_Traffic_2022_07_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2022_07_optimized/VectorTileServer,f0e695f375e2492c9f26158dde0c202f,US_Vessel_Traffic_2022_07_creds,https://utility.arcgis.com/usrsvcs/servers/f0e695f375e2492c9f26158dde0c202f/rest/services/AIS/2022_US_Vessel_Traffic/FeatureServer/6
US Vessel Traffic 2022 08,08,2022,2022_08,a8c38a781e794cba97b4a1ca34d98bbc,US_Vessel_Traffic_2022_08_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2022_08_optimized/VectorTileServer,038890756b854da6a1f9bb8e7fb78660,US_Vessel_Traffic_2022_08_creds,https://utility.arcgis.com/usrsvcs/servers/038890756b854da6a1f9bb8e7fb78660/rest/services/AIS/2022_US_Vessel_Traffic/FeatureServer/7
US Vessel Traffic 2022 09,09,2022,2022_09,f988ee309fbc415badef479e85950139,US_Vessel_Traffic_2022_09_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2022_09_optimized/VectorTileServer,fec3adced6c74bef90e0c756b2841555,US_Vessel_Traffic_2022_09_creds,https://utility.arcgis.com/usrsvcs/servers/fec3adced6c74bef90e0c756b2841555/rest/services/AIS/2022_US_Vessel_Traffic/FeatureServer/8
US Vessel Traffic 2022 10,10,2022,2022_10,25c97a7390464405a4725c309d9c6f19,US_Vessel_Traffic_2022_10_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2022_10_optimized/VectorTileServer,3c8fed2f7b2447678fa87f941f59875d,US_Vessel_Traffic_2022_10_creds,https://utility.arcgis.com/usrsvcs/servers/3c8fed2f7b2447678fa87f941f59875d/rest/services/AIS/2022_US_Vessel_Traffic/FeatureServer/9
US Vessel Traffic 2022 11,11,2022,2022_11,a42c37599c2b43c9ae68b33ddfea52e6,US_Vessel_Traffic_2022_11_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2022_11_optimized/VectorTileServer,5987f1eaa426445a9e5c2fe9b5f5d1cb,US_Vessel_Traffic_2022_11_creds,https://utility.arcgis.com/usrsvcs/servers/5987f1eaa426445a9e5c2fe9b5f5d1cb/rest/services/AIS/2022_US_Vessel_Traffic/FeatureServer/10
US Vessel Traffic 2022 12,12,2022,2022_12,f0fcf62614d34a5a827fb0e7303e2726,US_Vessel_Traffic_2022_12_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2022_12_optimized/VectorTileServer,212918d0a89142f39edbd093ec1c44c9,US_Vessel_Traffic_2022_12_creds,https://utility.arcgis.com/usrsvcs/servers/212918d0a89142f39edbd093ec1c44c9/rest/services/AIS/2022_US_Vessel_Traffic/FeatureServer/11
US Vessel Traffic 2023 01,01,2023,2023_01,41d6c1b1a68f4042a744021f5d8ab630,US_Vessel_Traffic_2023_01_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2023_01_optimized/VectorTileServer,2fe125d219474a8caf8162892751064b,US_Vessel_Traffic_2023_01_creds,https://utility.arcgis.com/usrsvcs/servers/2fe125d219474a8caf8162892751064b/rest/services/AIS/2023_US_Vessel_Traffic/FeatureServer/0
US Vessel Traffic 2023 02,02,2023,2023_02,5fef5d256bda40458eb9d5e8a164b24b,US_Vessel_Traffic_2023_02_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2023_02_optimized/VectorTileServer,355023e76fe640179ee74280376dec58,US_Vessel_Traffic_2023_02_creds,https://utility.arcgis.com/usrsvcs/servers/355023e76fe640179ee74280376dec58/rest/services/AIS/2023_US_Vessel_Traffic/FeatureServer/1
US Vessel Traffic 2023 03,03,2023,2023_03,d60ec66600e243d2bbb5a0b703b5dbc7,US_Vessel_Traffic_2023_03_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2023_03_optimized/VectorTileServer,4974980dbca04dbb9b173d517b677b0e,US_Vessel_Traffic_2023_03_creds,https://utility.arcgis.com/usrsvcs/servers/4974980dbca04dbb9b173d517b677b0e/rest/services/AIS/2023_US_Vessel_Traffic/FeatureServer/2
US Vessel Traffic 2023 04,04,2023,2023_04,8fedddc98038497bb4ef39a82d5d4019,US_Vessel_Traffic_2023_04_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2023_04_optimized/VectorTileServer,e0609bca7c65401980673c6ca804edd1,US_Vessel_Traffic_2023_04_creds,https://utility.arcgis.com/usrsvcs/servers/e0609bca7c65401980673c6ca804edd1/rest/services/AIS/2023_US_Vessel_Traffic/FeatureServer/3
US Vessel Traffic 2023 05,05,2023,2023_05,060cfa8cd2ce4547961213b818e222eb,US_Vessel_Traffic_2023_05_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2023_05_optimized/VectorTileServer,6a4a029c00fb44e4932c109fcb9387e5,US_Vessel_Traffic_2023_05_creds,https://utility.arcgis.com/usrsvcs/servers/6a4a029c00fb44e4932c109fcb9387e5/rest/services/AIS/2023_US_Vessel_Traffic/FeatureServer/4
US Vessel Traffic 2023 06,06,2023,2023_06,5f26d6e78c3046d0ac95f75c90dbef8e,US_Vessel_Traffic_2023_06_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2023_06_optimized/VectorTileServer,64591aff37814f119a78fa106ad87bf7,US_Vessel_Traffic_2023_06_creds,https://utility.arcgis.com/usrsvcs/servers/64591aff37814f119a78fa106ad87bf7/rest/services/AIS/2023_US_Vessel_Traffic/FeatureServer/5
US Vessel Traffic 2023 07,07,2023,2023_07,ec4ad4dc1f814357a5db4f8bd05929f8,US_Vessel_Traffic_2023_07_optimized,https://tiles.arcgis.com/tiles/P3ePLMYs2RVChkJx/arcgis/rest/services/US_Vessel_Traffic_2023_07_optimized/VectorTileServer,821e85439a744ef69afbaf912d0494c0,US_Vessel_Traffic_2023_07_creds,https://utility.arcgis.com/usrsvcs/servers/821e85439a744ef69afbaf912d0494c0/rest/services/AIS/2023_US_Vessel_Traffic/FeatureServer/6
